"Year","Country","Events","Kills","Wounds","WoundsLog"
1994,"Angola",9,108,75,4.33073334028633
1994,"Argentina",14,86,266,5.58724865840025
1994,"Armenia",4,15,46,3.85014760171006
1994,"Australia",9,3,8,2.19722457733622
1994,"Austria",5,0,3,1.38629436111989
1994,"Azerbaijan",11,NA,NA,NA
1994,"Bahrain",1,0,3,1.38629436111989
1994,"Bangladesh",68,NA,NA,NA
1994,"Belarus",1,NA,NA,NA
1994,"Belgium",5,NA,NA,NA
1994,"Benin",3,0,NA,NA
1994,"Bolivia",8,NA,NA,NA
1994,"Bosnia-Herzegovina",9,NA,NA,NA
1994,"Brazil",19,NA,NA,NA
1994,"Bulgaria",2,NA,NA,NA
1994,"Burundi",16,NA,NA,NA
1994,"Cambodia",39,NA,NA,NA
1994,"Cameroon",6,33,6,1.94591014905531
1994,"Canada",4,0,1,0.693147180559945
1994,"Cayman Islands",1,0,1,0.693147180559945
1994,"Central African Republic",1,2,5,1.79175946922805
1994,"Chad",1,1,3,1.38629436111989
1994,"Chile",15,0,7,2.07944154167984
1994,"China",13,18,96,4.57471097850338
1994,"Colombia",201,218,115,4.75359019110636
1994,"Comoros",1,0,0,0
1994,"Congo (Brazzaville)",8,12,4,1.6094379124341
1994,"Congo (Kinshasa)",7,2,11,2.484906649788
1994,"Corsica",60,1,6,1.94591014905531
1994,"Costa Rica",1,1,0,0
1994,"Croatia",4,3,0,0
1994,"Cuba",9,3,6,1.94591014905531
1994,"Cyprus",6,2,0,0
1994,"Czech Republic",1,0,0,0
1994,"Djibouti",2,6,15,2.77258872223978
1994,"Dominican Republic",7,2,18,2.94443897916644
1994,"Ecuador",6,0,2,1.09861228866811
1994,"Egypt",143,173,148,5.00394630594546
1994,"El Salvador",21,22,32,3.49650756146648
1994,"Estonia",6,0,0,0
1994,"Ethiopia",4,6,1,0.693147180559945
1994,"Finland",1,0,0,0
1994,"France",37,NA,NA,NA
1994,"Gabon",1,0,0,0
1994,"Gambia",1,13,0,0
1994,"Georgia",18,29,45,3.8286413964891
1994,"Germany",79,2,85,4.45434729625351
1994,"Ghana",4,13,0,0
1994,"Great Britain",42,0,23,3.17805383034795
1994,"Greece",42,3,19,2.99573227355399
1994,"Guatemala",84,22,39,3.68887945411394
1994,"Guinea",2,2,20,3.04452243772342
1994,"Haiti",27,87,50,3.93182563272433
1994,"Honduras",6,10,26,3.29583686600433
1994,"Hong Kong",4,3,4,1.6094379124341
1994,"Hungary",2,0,0,0
1994,"India",107,389,405,6.00635315960173
1994,"Indonesia",5,1,6,1.94591014905531
1994,"Iran",43,74,327,5.79301360838414
1994,"Iraq",18,NA,NA,NA
1994,"Ireland",10,NA,NA,NA
1994,"Israel",54,NA,NA,NA
1994,"Italy",18,2,8,2.19722457733622
1994,"Ivory Coast",2,5,0,0
1994,"Jamaica",2,2,0,0
1994,"Japan",9,8,504,6.22455842927536
1994,"Jordan",6,0,7,2.07944154167984
1994,"Kazakhstan",1,0,0,0
1994,"Kenya",5,40,1,0.693147180559945
1994,"Kuwait",2,0,3,1.38629436111989
1994,"Laos",1,2,1,0.693147180559945
1994,"Latvia",2,1,0,0
1994,"Lebanon",67,57,127,4.85203026391962
1994,"Lesotho",3,0,0,0
1994,"Liberia",3,110,0,0
1994,"Luxembourg",3,0,0,0
1994,"Macedonia",1,0,0,0
1994,"Mali",13,131,46,3.85014760171006
1994,"Mexico",42,NA,32,3.49650756146648
1994,"Moldova",1,1,0,0
1994,"Morocco",2,0,0,0
1994,"Mozambique",3,0,0,0
1994,"Myanmar",8,18,16,2.83321334405622
1994,"Namibia",1,0,0,0
1994,"Nepal",3,4,15,2.77258872223978
1994,"Netherlands",3,0,1,0.693147180559945
1994,"New Zealand",1,0,0,0
1994,"Nicaragua",19,12,7,2.07944154167984
1994,"Niger",8,53,4,1.6094379124341
1994,"Nigeria",8,15,0,0
1994,"North Korea",1,3,4,1.6094379124341
1994,"Northern Ireland",214,NA,NA,NA
1994,"Norway",2,0,0,0
1994,"Pakistan",154,354,434,6.07534603108868
1994,"Panama",3,21,0,0
1994,"Papua New Guinea",3,17,26,3.29583686600433
1994,"Paraguay",2,1,2,1.09861228866811
1994,"Peru",91,81,64,4.17438726989564
1994,"Philippines",72,NA,NA,NA
1994,"Poland",4,0,0,0
1994,"Portugal",1,2,0,0
1994,"Russia",47,34,NA,NA
1994,"Rwanda",33,1571,9,2.30258509299405
1994,"Saudi Arabia",2,0,0,0
1994,"Senegal",2,5,0,0
1994,"Sierra Leone",22,228,33,3.52636052461616
1994,"Singapore",1,1,1,0.693147180559945
1994,"Slovak Republic",1,0,0,0
1994,"Slovenia",1,1,1,0.693147180559945
1994,"Somalia",57,NA,NA,NA
1994,"South Africa",174,447,NA,NA
1994,"South Korea",2,1,1,0.693147180559945
1994,"Spain",55,17,31,3.46573590279973
1994,"Sri Lanka",35,186,446,6.10255859461357
1994,"Sudan",5,17,23,3.17805383034795
1994,"Suriname",1,0,0,0
1994,"Sweden",1,0,1,0.693147180559945
1994,"Taiwan",5,1,3,1.38629436111989
1994,"Tajikistan",31,48,NA,NA
1994,"Tanzania",1,1,0,0
1994,"Thailand",24,17,47,3.87120101090789
1994,"Togo",13,47,9,2.30258509299405
1994,"Trinidad and Tobago",1,2,0,0
1994,"Tunisia",1,1,0,0
1994,"Turkey",300,982,NA,NA
1994,"Uganda",13,22,41,3.73766961828337
1994,"Ukraine",10,NA,NA,NA
1994,"United States",56,NA,NA,NA
1994,"Uruguay",4,0,4,1.6094379124341
1994,"Venezuela",12,4,10,2.39789527279837
1994,"Vietnam",1,0,21,3.09104245335832
1994,"Wallis and Futuna",1,0,0,0
1994,"West Bank and Gaza Strip",166,NA,NA,NA
1994,"Yemen",19,14,2,1.09861228866811
1994,"Yugoslavia",1,0,0,0
1994,"Zimbabwe",1,0,25,3.25809653802148
1995,"Afghanistan",6,5,10,2.39789527279837
1995,"Algeria",185,417,1061,6.96790920180188
1995,"Angola",10,52,26,3.29583686600433
1995,"Argentina",16,0,1,0.693147180559945
1995,"Armenia",1,2,20,3.04452243772342
1995,"Australia",5,0,0,0
1995,"Austria",12,6,6,1.94591014905531
1995,"Azerbaijan",2,0,0,0
1995,"Bahrain",8,1,2,1.09861228866811
1995,"Bangladesh",74,35,NA,NA
1995,"Belgium",1,0,0,0
1995,"Benin",1,0,0,0
1995,"Bolivia",2,0,0,0
1995,"Bosnia-Herzegovina",6,2,3,1.38629436111989
1995,"Botswana",1,0,1,0.693147180559945
1995,"Brazil",23,13,40,3.71357206670431
1995,"Bulgaria",2,3,0,0
1995,"Burundi",83,NA,NA,NA
1995,"Cambodia",56,21,98,4.59511985013459
1995,"Cameroon",2,5,1,0.693147180559945
1995,"Canada",5,1,1,0.693147180559945
1995,"Chad",3,0,0,0
1995,"Chile",17,1,5,1.79175946922805
1995,"China",7,2,98,4.59511985013459
1995,"Colombia",124,525,426,6.05678401322862
1995,"Congo (Kinshasa)",6,43,NA,NA
1995,"Corsica",53,10,4,1.6094379124341
1995,"Croatia",1,1,2,1.09861228866811
1995,"Cyprus",3,0,1,0.693147180559945
1995,"Czech Republic",3,1,0,0
1995,"Denmark",6,0,0,0
1995,"Djibouti",2,0,4,1.6094379124341
1995,"Ecuador",6,4,NA,NA
1995,"Egypt",102,134,135,4.91265488573605
1995,"El Salvador",9,3,16,2.83321334405622
1995,"Eritrea",2,0,19,2.99573227355399
1995,"Estonia",2,0,0,0
1995,"Ethiopia",5,5,4,1.6094379124341
1995,"Finland",1,0,1,0.693147180559945
1995,"France",18,9,173,5.15905529921453
1995,"French Polynesia",3,0,13,2.63905732961526
1995,"Gambia",1,0,0,0
1995,"Georgia",17,14,23,3.17805383034795
1995,"Germany",147,10,26,3.29583686600433
1995,"Ghana",1,2,6,1.94591014905531
1995,"Great Britain",5,2,2,1.09861228866811
1995,"Greece",8,0,0,0
1995,"Guatemala",82,40,10,2.39789527279837
1995,"Haiti",34,16,40,3.71357206670431
1995,"Honduras",12,8,2,1.09861228866811
1995,"Hong Kong",1,0,0,0
1995,"India",179,361,616,6.42486902390539
1995,"Indonesia",24,41,51,3.95124371858143
1995,"Iran",8,0,11,2.484906649788
1995,"Iraq",17,156,256,5.54907608489522
1995,"Ireland",3,1,1,0.693147180559945
1995,"Israel",12,18,147,4.99721227376411
1995,"Italy",1,0,1,0.693147180559945
1995,"Ivory Coast",7,40,5,1.79175946922805
1995,"Jamaica",1,1,1,0.693147180559945
1995,"Japan",20,15,6225,8.73648935100155
1995,"Jordan",3,1,2,1.09861228866811
1995,"Kenya",4,2,2,1.09861228866811
1995,"Latvia",1,0,0,0
1995,"Lebanon",38,35,72,4.29045944114839
1995,"Libya",1,0,0,0
1995,"Lithuania",2,0,0,0
1995,"Macau",1,0,0,0
1995,"Macedonia",1,1,6,1.94591014905531
1995,"Madagascar",3,4,0,0
1995,"Mali",1,2,6,1.94591014905531
1995,"Malta",2,1,1,0.693147180559945
1995,"Mexico",29,61,27,3.3322045101752
1995,"Morocco",1,0,1,0.693147180559945
1995,"Mozambique",3,15,1,0.693147180559945
1995,"Myanmar",12,30,NA,NA
1995,"Netherlands",7,1,2,1.09861228866811
1995,"Nicaragua",18,6,26,3.29583686600433
1995,"Niger",2,22,0,0
1995,"Nigeria",1,1,0,0
1995,"Northern Ireland",17,9,NA,NA
1995,"Pakistan",666,NA,NA,NA
1995,"Panama",6,3,0,0
1995,"Papua New Guinea",10,NA,NA,NA
1995,"Paraguay",12,0,16,2.83321334405622
1995,"Peru",44,103,48,3.89182029811063
1995,"Philippines",63,201,102,4.63472898822964
1995,"Poland",4,0,1,0.693147180559945
1995,"Portugal",3,0,15,2.77258872223978
1995,"Romania",1,0,5,1.79175946922805
1995,"Russia",37,145,34,3.55534806148941
1995,"Rwanda",17,201,86,4.46590811865458
1995,"Saudi Arabia",3,14,161,5.08759633523238
1995,"Senegal",8,18,23,3.17805383034795
1995,"Sierra Leone",14,40,23,3.17805383034795
1995,"Slovak Republic",3,3,1,0.693147180559945
1995,"Somalia",13,29,162,5.09375020080676
1995,"South Africa",32,105,88,4.48863636973214
1995,"South Korea",4,0,1,0.693147180559945
1995,"Spain",44,18,86,4.46590811865458
1995,"Sri Lanka",126,1020,599,6.39692965521615
1995,"St. Kitts and Nevis",2,0,9,2.30258509299405
1995,"Sudan",4,6,0,0
1995,"Swaziland",1,0,0,0
1995,"Sweden",1,0,0,0
1995,"Switzerland",5,1,0,0
1995,"Taiwan",4,0,2,1.09861228866811
1995,"Tajikistan",34,78,23,3.17805383034795
1995,"Tanzania",1,0,0,0
1995,"Thailand",12,19,25,3.25809653802148
1995,"Togo",1,0,0,0
1995,"Trinidad and Tobago",4,4,0,0
1995,"Tunisia",1,7,0,0
1995,"Turkey",133,189,NA,NA
1995,"Uganda",7,145,NA,NA
1995,"Ukraine",2,0,2,1.09861228866811
1995,"United Arab Emirates",2,0,0,0
1995,"United States",62,171,735,6.60123011872888
1995,"Uruguay",1,0,0,0
1995,"Uzbekistan",1,0,0,0
1995,"Venezuela",11,8,34,3.55534806148941
1995,"Vietnam",1,0,5,1.79175946922805
1995,"West Bank and Gaza Strip",68,43,129,4.86753445045558
1995,"Yemen",8,4,12,2.56494935746154
1995,"Yugoslavia",3,2,7,2.07944154167984
1995,"Zambia",1,0,0,0
1995,"Zimbabwe",2,0,1,0.693147180559945
1996,"Afghanistan",4,31,30,3.43398720448515
1996,"Albania",6,7,37,3.63758615972639
1996,"Algeria",130,NA,NA,NA
1996,"Angola",4,18,6,1.94591014905531
1996,"Argentina",19,1,12,2.56494935746154
1996,"Armenia",1,2,0,0
1996,"Australia",5,2,1,0.693147180559945
1996,"Austria",4,0,1,0.693147180559945
1996,"Azerbaijan",2,2,0,0
1996,"Bahrain",16,8,15,2.77258872223978
1996,"Bangladesh",161,NA,NA,NA
1996,"Benin",2,0,0,0
1996,"Bolivia",1,0,0,0
1996,"Bosnia-Herzegovina",33,2,12,2.56494935746154
1996,"Brazil",18,22,9,2.30258509299405
1996,"Bulgaria",12,9,3,1.38629436111989
1996,"Burundi",35,NA,NA,NA
1996,"Cambodia",33,44,78,4.36944785246702
1996,"Canada",1,0,1,0.693147180559945
1996,"Central African Republic",1,2,0,0
1996,"Chad",1,1,0,0
1996,"Chile",8,2,4,1.6094379124341
1996,"China",62,23,106,4.67282883446191
1996,"Colombia",409,NA,NA,NA
1996,"Congo (Brazzaville)",1,0,0,0
1996,"Congo (Kinshasa)",13,223,92,4.53259949315326
1996,"Corsica",228,11,17,2.89037175789616
1996,"Costa Rica",1,1,4,1.6094379124341
1996,"Croatia",3,0,1,0.693147180559945
1996,"Cuba",1,0,0,0
1996,"Cyprus",10,3,3,1.38629436111989
1996,"Czech Republic",3,2,3,1.38629436111989
1996,"Dominican Republic",3,3,11,2.484906649788
1996,"Ecuador",5,2,2,1.09861228866811
1996,"Egypt",51,97,63,4.15888308335967
1996,"El Salvador",7,26,59,4.0943445622221
1996,"Eritrea",1,6,0,0
1996,"Estonia",1,1,10,2.39789527279837
1996,"Ethiopia",7,133,NA,NA
1996,"France",42,7,97,4.58496747867057
1996,"French Guiana",2,0,1,0.693147180559945
1996,"Gabon",1,0,1,0.693147180559945
1996,"Georgia",3,2,10,2.39789527279837
1996,"Germany",50,1,5,1.79175946922805
1996,"Ghana",2,3,0,0
1996,"Great Britain",8,3,308,5.73334127689775
1996,"Greece",20,0,3,1.38629436111989
1996,"Guatemala",26,14,9,2.30258509299405
1996,"Guinea",1,2,0,0
1996,"Haiti",27,14,7,2.07944154167984
1996,"Honduras",19,11,29,3.40119738166216
1996,"Hong Kong",3,0,5,1.79175946922805
1996,"Hungary",13,0,8,2.19722457733622
1996,"India",211,NA,NA,NA
1996,"Indonesia",65,NA,NA,NA
1996,"Iran",3,3,2,1.09861228866811
1996,"Iraq",12,11,14,2.70805020110221
1996,"Ireland",1,1,NA,NA
1996,"Israel",17,71,225,5.42053499927229
1996,"Italy",8,0,1,0.693147180559945
1996,"Ivory Coast",2,5,7,2.07944154167984
1996,"Jamaica",1,1,0,0
1996,"Japan",8,0,2,1.09861228866811
1996,"Jordan",2,0,1,0.693147180559945
1996,"Kenya",3,2,NA,NA
1996,"Kyrgyzstan",5,0,0,0
1996,"Laos",1,5,1,0.693147180559945
1996,"Lebanon",41,59,71,4.27666611901606
1996,"Liberia",1,10,NA,NA
1996,"Libya",4,12,0,0
1996,"Lithuania",3,0,1,0.693147180559945
1996,"Macau",10,NA,NA,NA
1996,"Madagascar",2,1,1,0.693147180559945
1996,"Mauritania",1,0,0,0
1996,"Mexico",75,96,211,5.35658627467201
1996,"Moldova",2,0,0,0
1996,"Morocco",2,0,13,2.63905732961526
1996,"Myanmar",13,NA,84,4.44265125649032
1996,"Nepal",5,6,7,2.07944154167984
1996,"Netherlands",6,0,0,0
1996,"New Zealand",2,0,2,1.09861228866811
1996,"Nicaragua",26,18,15,2.77258872223978
1996,"Niger",1,2,8,2.19722457733622
1996,"Nigeria",11,24,15,2.77258872223978
1996,"Northern Ireland",29,12,NA,NA
1996,"Norway",1,0,1,0.693147180559945
1996,"Pakistan",180,423,755,6.62804137617953
1996,"Panama",2,0,0,0
1996,"Papua New Guinea",10,21,11,2.484906649788
1996,"Peru",42,NA,NA,NA
1996,"Philippines",61,NA,NA,NA
1996,"Poland",6,NA,NA,NA
1996,"Qatar",1,0,0,0
1996,"Russia",66,NA,NA,NA
1996,"Rwanda",15,129,3,1.38629436111989
1996,"Saudi Arabia",1,19,386,5.95842469302978
1996,"Sierra Leone",5,60,11,2.484906649788
1996,"Slovak Republic",5,1,0,0
1996,"Slovenia",3,0,1,0.693147180559945
1996,"Somalia",16,28,8,2.19722457733622
1996,"South Africa",47,82,NA,NA
1996,"South Korea",1,0,30,3.43398720448515
1996,"Spain",63,5,63,4.15888308335967
1996,"Sri Lanka",176,NA,NA,NA
1996,"Sudan",10,40,10,2.39789527279837
1996,"Sweden",1,0,0,0
1996,"Switzerland",4,1,3,1.38629436111989
1996,"Syria",2,15,50,3.93182563272433
1996,"Taiwan",5,9,1,0.693147180559945
1996,"Tajikistan",22,50,34,3.55534806148941
1996,"Thailand",19,10,16,2.83321334405622
1996,"Togo",1,3,0,0
1996,"Trinidad and Tobago",3,0,3,1.38629436111989
1996,"Turkey",54,117,92,4.53259949315326
1996,"Uganda",29,413,110,4.70953020131233
1996,"Ukraine",3,0,3,1.38629436111989
1996,"United States",36,3,121,4.80402104473326
1996,"Uruguay",1,0,0,0
1996,"Vanuatu",2,0,0,0
1996,"Venezuela",12,13,4,1.6094379124341
1996,"Vietnam",1,0,1,0.693147180559945
1996,"Virgin Islands (U.S.)",1,1,1,0.693147180559945
1996,"West Bank and Gaza Strip",30,17,31,3.46573590279973
1996,"Yemen",8,3,4,1.6094379124341
1996,"Yugoslavia",16,9,9,2.30258509299405
1996,"Zambia",4,0,8,2.19722457733622
1997,"Afghanistan",1,4,37,3.63758615972639
1997,"Albania",41,26,77,4.35670882668959
1997,"Algeria",344,4266,NA,NA
1997,"Angola",7,34,32,3.49650756146648
1997,"Antigua and Barbuda",1,1,0,0
1997,"Argentina",11,3,2,1.09861228866811
1997,"Australia",4,0,23,3.17805383034795
1997,"Austria",1,0,0,0
1997,"Azerbaijan",1,1,0,0
1997,"Bahamas",2,1,0,0
1997,"Bahrain",11,5,2,1.09861228866811
1997,"Bangladesh",17,14,349,5.85793315448346
1997,"Belarus",2,1,0,0
1997,"Belgium",2,4,0,0
1997,"Bolivia",4,4,7,2.07944154167984
1997,"Bosnia-Herzegovina",42,5,68,4.23410650459726
1997,"Brazil",39,28,15,2.77258872223978
1997,"Bulgaria",3,0,0,0
1997,"Burundi",79,386,507,6.23048144757848
1997,"Cambodia",18,100,284,5.65248918026865
1997,"Canada",2,0,1,0.693147180559945
1997,"Chad",1,2,2,1.09861228866811
1997,"Chile",6,0,10,2.39789527279837
1997,"China",18,57,259,5.56068163101553
1997,"Colombia",598,NA,NA,NA
1997,"Comoros",3,0,2,1.09861228866811
1997,"Congo (Brazzaville)",2,2,2,1.09861228866811
1997,"Congo (Kinshasa)",6,21,3,1.38629436111989
1997,"Corsica",109,0,1,0.693147180559945
1997,"Costa Rica",1,2,1,0.693147180559945
1997,"Croatia",8,2,2,1.09861228866811
1997,"Cuba",14,1,3,1.38629436111989
1997,"Czech Republic",4,1,0,0
1997,"Djibouti",1,11,16,2.83321334405622
1997,"Dominica",1,0,0,0
1997,"Dominican Republic",12,3,30,3.43398720448515
1997,"Ecuador",4,1,0,0
1997,"Egypt",22,165,47,3.87120101090789
1997,"El Salvador",2,1,9,2.30258509299405
1997,"Ethiopia",6,8,135,4.91265488573605
1997,"France",21,0,3,1.38629436111989
1997,"French Guiana",2,0,12,2.56494935746154
1997,"Gabon",1,4,0,0
1997,"Georgia",6,35,3,1.38629436111989
1997,"Germany",12,0,27,3.3322045101752
1997,"Ghana",1,1,3,1.38629436111989
1997,"Great Britain",5,NA,NA,NA
1997,"Greece",21,1,3,1.38629436111989
1997,"Guatemala",26,22,22,3.13549421592915
1997,"Guyana",1,0,0,0
1997,"Haiti",16,9,11,2.484906649788
1997,"Honduras",22,14,18,2.94443897916644
1997,"Hungary",17,3,2,1.09861228866811
1997,"India",193,853,NA,NA
1997,"Indonesia",28,102,99,4.60517018598809
1997,"Iran",2,4,102,4.63472898822964
1997,"Iraq",21,NA,NA,NA
1997,"Ireland",4,0,0,0
1997,"Israel",13,31,448,6.10702288774225
1997,"Italy",8,0,0,0
1997,"Ivory Coast",1,0,0,0
1997,"Jamaica",8,10,32,3.49650756146648
1997,"Japan",5,0,0,0
1997,"Jordan",3,0,4,1.6094379124341
1997,"Kazakhstan",2,2,0,0
1997,"Kenya",17,36,21,3.09104245335832
1997,"Kuwait",2,0,2,1.09861228866811
1997,"Latvia",2,0,0,0
1997,"Lebanon",46,36,50,3.93182563272433
1997,"Lithuania",1,1,0,0
1997,"Macau",16,1,14,2.70805020110221
1997,"Macedonia",2,0,0,0
1997,"Madagascar",1,0,1,0.693147180559945
1997,"Mali",3,0,3,1.38629436111989
1997,"Malta",1,0,0,0
1997,"Mexico",95,229,47,3.87120101090789
1997,"Moldova",1,0,0,0
1997,"Myanmar",35,16,10,2.39789527279837
1997,"Nepal",9,15,8,2.19722457733622
1997,"Netherlands",4,6,0,0
1997,"New Zealand",1,0,0,0
1997,"Nicaragua",7,7,5,1.79175946922805
1997,"Niger",3,32,5,1.79175946922805
1997,"Nigeria",20,107,51,3.95124371858143
1997,"Northern Ireland",73,NA,NA,NA
1997,"Pakistan",206,NA,NA,NA
1997,"Panama",6,3,4,1.6094379124341
1997,"Papua New Guinea",2,0,0,0
1997,"Paraguay",6,1,12,2.56494935746154
1997,"Peru",58,47,57,4.06044301054642
1997,"Philippines",57,98,273,5.61312810638807
1997,"Poland",3,2,5,1.79175946922805
1997,"Puerto Rico",1,0,0,0
1997,"Russia",77,61,108,4.69134788222914
1997,"Rwanda",33,1027,274,5.61677109766657
1997,"Senegal",26,92,48,3.89182029811063
1997,"Sierra Leone",3,16,1,0.693147180559945
1997,"Slovak Republic",4,2,1,0.693147180559945
1997,"Slovenia",1,0,0,0
1997,"Somalia",19,145,138,4.93447393313069
1997,"South Africa",17,23,4,1.6094379124341
1997,"Spain",86,NA,25,3.25809653802148
1997,"Sri Lanka",64,486,NA,NA
1997,"Sudan",3,1,21,3.09104245335832
1997,"Suriname",2,0,2,1.09861228866811
1997,"Swaziland",1,0,0,0
1997,"Sweden",4,1,1,0.693147180559945
1997,"Switzerland",1,0,0,0
1997,"Syria",1,2,0,0
1997,"Taiwan",1,0,0,0
1997,"Tajikistan",40,43,44,3.80666248977032
1997,"Tanzania",1,1,0,0
1997,"Thailand",20,18,24,3.2188758248682
1997,"Turkey",44,60,NA,NA
1997,"Uganda",24,239,121,4.80402104473326
1997,"Ukraine",2,2,0,0
1997,"United States",39,2,18,2.94443897916644
1997,"Uruguay",2,0,1,0.693147180559945
1997,"Venezuela",41,3,1,0.693147180559945
1997,"Vietnam",2,1,0,0
1997,"West Bank and Gaza Strip",22,9,29,3.40119738166216
1997,"Yemen",19,11,8,2.19722457733622
1997,"Yugoslavia",38,9,28,3.36729582998647
1998,"Afghanistan",1,8,30,3.43398720448515
1998,"Albania",7,NA,NA,NA
1998,"Algeria",151,NA,NA,NA
1998,"Angola",20,NA,NA,NA
1998,"Armenia",2,0,1,0.693147180559945
1998,"Australia",6,0,2,1.09861228866811
1998,"Austria",1,0,0,0
1998,"Bangladesh",2,0,1,0.693147180559945
1998,"Belgium",3,0,0,0
1998,"Bosnia-Herzegovina",9,NA,NA,NA
1998,"Brazil",2,0,0,0
1998,"Bulgaria",2,0,1,0.693147180559945
1998,"Burundi",13,392,NA,NA
1998,"Cambodia",7,NA,NA,NA
1998,"Cameroon",1,NA,NA,NA
1998,"Canada",4,1,0,0
1998,"Chad",1,0,0,0
1998,"Chile",1,0,0,0
1998,"China",2,50,NA,NA
1998,"Colombia",94,NA,NA,NA
1998,"Congo (Kinshasa)",4,NA,NA,NA
1998,"Corsica",7,1,0,0
1998,"Cyprus",1,0,0,0
1998,"Ecuador",3,0,1,0.693147180559945
1998,"Egypt",3,9,15,2.77258872223978
1998,"France",5,0,0,0
1998,"Georgia",12,32,NA,NA
1998,"Germany",5,0,0,0
1998,"Great Britain",5,0,2,1.09861228866811
1998,"Greece",28,0,2,1.09861228866811
1998,"Guyana",2,0,1,0.693147180559945
1998,"Haiti",1,0,0,0
1998,"Hungary",2,0,0,0
1998,"India",62,428,NA,NA
1998,"Indonesia",3,9,NA,NA
1998,"Iran",5,6,6,1.94591014905531
1998,"Iraq",6,13,16,2.83321334405622
1998,"Ireland",3,1,2,1.09861228866811
1998,"Israel",14,NA,120,4.79579054559674
1998,"Italy",6,0,14,2.70805020110221
1998,"Japan",1,0,1,0.693147180559945
1998,"Jordan",1,0,0,0
1998,"Kenya",2,226,4000,8.29429960885724
1998,"Latvia",4,0,NA,NA
1998,"Lebanon",23,NA,NA,NA
1998,"Macau",6,0,15,2.77258872223978
1998,"Macedonia",5,NA,NA,NA
1998,"Mexico",2,3,5,1.79175946922805
1998,"Nigeria",2,9,NA,NA
1998,"Northern Ireland",58,45,257,5.55295958492162
1998,"Pakistan",37,NA,NA,NA
1998,"Peru",5,7,12,2.56494935746154
1998,"Philippines",18,6,85,4.45434729625351
1998,"Poland",2,0,0,0
1998,"Puerto Rico",4,0,1,0.693147180559945
1998,"Russia",26,49,NA,NA
1998,"Rwanda",9,100,NA,NA
1998,"Senegal",1,4,4,1.6094379124341
1998,"Sierra Leone",7,NA,NA,NA
1998,"Slovak Republic",2,1,3,1.38629436111989
1998,"Somalia",1,0,0,0
1998,"South Africa",6,13,31,3.46573590279973
1998,"Spain",17,6,6,1.94591014905531
1998,"Sri Lanka",35,NA,NA,NA
1998,"Swaziland",1,1,2,1.09861228866811
1998,"Switzerland",1,0,0,0
1998,"Syria",1,NA,NA,NA
1998,"Tajikistan",11,29,NA,NA
1998,"Tanzania",1,11,85,4.45434729625351
1998,"Thailand",4,4,42,3.76120011569356
1998,"Turkey",24,43,108,4.69134788222914
1998,"Uganda",18,81,NA,NA
1998,"United States",26,4,2,1.09861228866811
1998,"Venezuela",1,0,1,0.693147180559945
1998,"West Bank and Gaza Strip",12,12,NA,NA
1998,"Yemen",7,8,NA,NA
1998,"Yugoslavia",46,NA,NA,NA
1999,"Afghanistan",9,NA,NA,NA
1999,"Albania",3,6,5,1.79175946922805
1999,"Algeria",106,467,NA,NA
1999,"Angola",34,NA,NA,NA
1999,"Argentina",1,0,0,0
1999,"Armenia",2,8,NA,NA
1999,"Bangladesh",11,30,NA,NA
1999,"Belarus",1,0,0,0
1999,"Belgium",2,0,0,0
1999,"Bosnia-Herzegovina",5,1,4,1.6094379124341
1999,"Brazil",1,1,0,0
1999,"Bulgaria",1,0,0,0
1999,"Burundi",13,NA,NA,NA
1999,"Cambodia",8,NA,NA,NA
1999,"Canada",2,0,2,1.09861228866811
1999,"Chad",1,77,NA,NA
1999,"Chile",3,0,0,0
1999,"China",2,5,50,3.93182563272433
1999,"Colombia",116,NA,NA,NA
1999,"Congo (Brazzaville)",3,107,NA,NA
1999,"Congo (Kinshasa)",3,7,NA,NA
1999,"Corsica",34,0,NA,NA
1999,"Cyprus",1,0,0,0
1999,"Denmark",1,0,0,0
1999,"Ecuador",2,0,0,0
1999,"Egypt",1,1,1,0.693147180559945
1999,"Estonia",1,0,0,0
1999,"Ethiopia",2,2,2,1.09861228866811
1999,"Fiji",3,0,0,0
1999,"France",12,0,0,0
1999,"Georgia",7,5,26,3.29583686600433
1999,"Germany",12,3,47,3.87120101090789
1999,"Great Britain",8,NA,NA,NA
1999,"Greece",35,1,4,1.6094379124341
1999,"Guatemala",1,3,0,0
1999,"Haiti",5,3,3,1.38629436111989
1999,"India",112,NA,NA,NA
1999,"Indonesia",61,NA,NA,NA
1999,"Iran",8,NA,NA,NA
1999,"Iraq",12,32,NA,NA
1999,"Ireland",3,0,1,0.693147180559945
1999,"Israel",8,6,53,3.98898404656427
1999,"Italy",7,1,0,0
1999,"Japan",2,0,0,0
1999,"Jordan",2,0,1,0.693147180559945
1999,"Kosovo",39,NA,NA,NA
1999,"Kyrgyzstan",3,1,7,2.07944154167984
1999,"Latvia",1,0,0,0
1999,"Lebanon",42,NA,NA,NA
1999,"Liberia",2,0,NA,NA
1999,"Macedonia",3,0,0,0
1999,"Mexico",1,0,2,1.09861228866811
1999,"Mozambique",1,0,1,0.693147180559945
1999,"Myanmar",4,10,NA,NA
1999,"Namibia",1,13,25,3.25809653802148
1999,"Nepal",8,NA,NA,NA
1999,"Netherlands",1,0,0,0
1999,"Nicaragua",1,0,0,0
1999,"Niger",2,4,NA,NA
